Fund Name,Verified,Logo URL,Local Logo Path,LinkedIn,Website,Who we are,Value add,Firm type,Global HQ,Branch office #1,Branch office #2,Branch office #3,Branch office #4,Branch office #5,Funding requirements,Funding stages,Lead,Check Size Min,Check Size Max,Check size,Target countries,Team,Source Page,Profile URL,Twitter,Who I am,Application periodicity,Typical terms
Senovo,True,./images/funds/recaksqBrs7hlIbj2.jpg,logos/Senovo.jpg,https://www.linkedin.com/company/senovovc/,https://www.senovo.vc/,We are a Venture Capital fund backing exceptional founders building global B2B SaaS category leaders from Europe.,We do support our portfolio companies when it comes to go to market and international expansion.,VC,"Leopoldstr 23, Munich, Bayern 80802, DE

+
−
Leaflet",,,,,,"We invest in exceptional founders building global B2B SaaS category leaders from Europe.

As a European first-mover, the fund invests since 2013 into a new generation of B2B software startups that enable the digitalization of medium and large enterprises. Their focus is primarily on supporting teams working in the areas of process optimization, industry 4.0, and data-enabled solutions.

Senovo joins the journey after a company has first revenues in a late Seed or Series A round. Their team of SaaS specialists seeks meaningful eye-level relationships and regularly publishes their learnings and thought leadership at www.medium.com/senovovc.",3. Early Revenue; 4. Scaling,Sometimes,1000000,3000000,$1M to $3M,Austria; Belgium; Croatia; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Iceland; Ireland; Italy; Latvia; Liechtenstein; Lithuania; Luxembourg; Malta; Netherlands; Norway; Poland; Portugal; Serbia; Slovakia; Slovenia; Spain; Sweden; Switzerland; UK; Ukraine; Israel,Alberto Giovannetti (Analyst),2,fund/Senovo,,,,
Ascendo VC,True,./images/funds/rec9skLoYah4AtTmj.jpg,logos/Ascendo_VC.jpg,https://www.linkedin.com/company/ascendo-venture-capital/,https://ascendo.vc,We are a venture capital firm investing nationwide in early-stage companies led by visionary underrepresented founders. Our investment strategy targets disruptive technologies that address the needs of growing demographic segments and empower women as catalysts of economic growth.,"We are a diverse, team of investors, founders and operators, with the experience, deep networks, and cultural affinity to capitalize on this opportunity.",VC,"South Miami, FL",,,,,,"We invest in Seed to Series A
Companies led by founders from underrepresented segments.
Technology-based business driving transformation to improve access within growing demographic segments that are underserved
Industry sectors FinTech, EdTech, Future of Work, HealthTech, and Enterprise Software
Large and growing market opportunity that promotes equitable and inclusive outcomes
Post revenue",3. Early Revenue,Never,100000,500000,$100k to $500k,USA,Claudia Ortiz (Scout); Emil Chaia (Analyst),2,fund/Ascendo%20VC,,,,
Dynamo Ventures,True,./images/funds/receYzeZRZPmlJeGX.jpg,logos/Dynamo_Ventures.jpg,https://www.linkedin.com/company/dynamovc/,https://www.dynamo.vc/,"We are supply chain and mobility specialists that focus on pre-seed and seed stage, enterprise startups.","We have a phased approach to portfolio support across product/strategy, sales, and talent introductions.",VC,"800 Market Street Suite 201 Chattanooga, TN 37402

+
−
Leaflet",,,,,,We are interested in supply chain and mobility startups with enterprise business models that are at the pre-seed or seed stage. We are geo-agnostic.,2. Prototype; 3. Early Revenue; 1. Idea or Patent,N/A,500000,1500000,$500k to $1.5M,USA; Canada; Mexico; Kenya; UK; Germany,Daniel Dart (Other); Madelyn O’farrell (Associate); Derrek Li (Associate); Santosh Sankar (GP/MD),2,fund/Dynamo%20Ventures,,,,
Stephen Industries,True,./images/funds/reclLTDW5YReCB3zA.jpg,logos/Stephen_Industries.jpg,https://www.linkedin.com/company/stephen-industries/,https://www.stephenindustries.com/,"Stephen Industries is a family-owned investment company based in Helsinki, Finland. We fund companies creating innovative Healthtech, Deeptech and Greentech solutions for a better world.

Our vision has been simple since day one: to be the best in the world in what we do. The drive for excellence is deep in the nanofibers of our company.

For the first 30 years, Stephen Industries operated as an industrial holding company founded by serial entrepreneur Kustaa Poutiainen. Our journey towards global success started with subsidiary Picosun – a deep tech company that specializes in atomic layer deposition, founded by Kustaa in 2004.

Throughout the years, Kustaa raised several rounds of growth capital, growing Picosun to over 50 million euros in annual revenues. In June 2022, Picosun’s stock was sold to US-based technology giant Applied Materials Inc. The sale of Picosun catalysed a change of Stephen Industries’ operations, transforming Stephen Industries into an ambitious and experienced investment company in late 2022. In addition to Picosun, we’re currently best known for the central vacuum cleaner manufacturer Puzer and tech ventures such as Hycamite, TILT, Sooma, Fiberwood and Stemsight.","We have extensive experience of bringing a deep tech innovation to market and scaling it internationally. We are also building expertise within medical devices and related regulatory approval processes.
We don't have fixed holding periods and are thus suitable investors for companies and founders that do not want to have to plan for an exit in 3-7 years' time. Additionally we have deep pockets and can keep funding a company through its stages from startup to growth company to listed entity",Family office,"Mikonkatu 9, 00100 Helsinki, Finland

+
−
Leaflet",,,,,,"We invest in companies creating innovative Healthtech, Deeptech and Greentech solutions for a better world.",1. Idea or Patent; 2. Prototype; 3. Early Revenue; 4. Scaling; 5. Growth; 6. Pre-IPO,Sometimes,100000,5000000,$100k to $5M,Finland; Sweden; Norway; Estonia; Latvia; Lithuania; Denmark; Poland; Germany; France; UK; Spain; Ireland; Portugal; Italy; Switzerland; Austria,Tor-Oskar Karlberg (Other),2,fund/Stephen%20Industries,,,,
Mehmet Talas,True,./images/funds/recHhgwhQDSEKQ8SK.jpg,logos/Mehmet_Talas.jpg,https://www.linkedin.com/in/mehmettalas/,,,"Very good knowledge of the start-up ecosystem in France
10 years' expertise in start-up financing",Solo angel,"Paris, France",,,,,,I invest in SaaS B2B / AI / Data with strong team and early revenue.,3. Early Revenue,,10000,50000,$10k to $50k,France,,2,fund/Mehmet%20Talas,,Startup advisory & business angel,,
J&T Ventures,True,./images/funds/recBlTk9lpUKjQZp7.jpg,logos/JT_Ventures.jpg,https://www.linkedin.com/company/15185965/,https://www.jtventures.cz/,Early-stage CEE investors.,Vast connections within the enterprise world thanks to our anchor investor J&T Bank.,VC,"Sokolovská 700/113a, Prague, 18600, CZ

+
−
Leaflet",,,,,,We invest in companies at seed stage with proven product-market fit.,1. Idea or Patent; 2. Prototype; 3. Early Revenue,Sometimes,300000,3000000,$300k to $3M,Czech Republic,Matouš Paleček (Analyst),2,fund/J%26T%20Ventures,,,,
May Ventures,True,./images/funds/recuWWKohGZKLjPqP.jpg,logos/May_Ventures.jpg,https://www.linkedin.com/company/mayvc/,https://mayventures.vc,"We are a new early-stage VC fund from GER, run by young GPs in founder age, investing in B2B software and AI startups across Germany and neighboring countries. May Ventures itself built as a tech company, using AI to move fast, operate efficiently, and work with founders as true peers.","We support founders with AI and our platform strategy – using in-house tools and agents to help with market intelligence, go-to-market and hiring. Through our strong network of banks, family offices and mid-market companies, we open doors to first customers, co-investors and follow-on investors, and many of our venture partners and fund investors are successful entrepreneurs and exited founders who actively support the next generation of founders.",VC,"Marievengasse 7, 48143 Muenster, Germany

+
−
Leaflet",,,,,,"We invest in early-stage (Pre-Seed and Seed) B2B SaaS and AI startups across Germany and neighboring countries, with a focus on applied AI, AI infrastructure, developer tools, and AI-related hardware and robotics.",1. Idea or Patent; 2. Prototype; 3. Early Revenue,Sometimes,300000,1200000,$300k to $1.2M,Germany; Austria; Switzerland,Dominik Lohle (GP/MD); Janne Kurtz (Analyst),2,fund/May%20Ventures,,,,
Smartfin,True,./images/funds/recWdZo2WWc86vSG0.jpg,logos/Smartfin.jpg,https://www.linkedin.com/company/smartfinvc/,https://www.smartfinvc.com,We invest in promising B2B technology companies across Europe,Our complementary team combines a successful private equity track record and exceptional entrepreneurial experience.,VC,"Brussels, Belgium",,,,,,We invest in promising B2B technology companies across Europe that have achieved initial signs of product-market fit.,3. Early Revenue; 4. Scaling; 5. Growth,N/A,1000000,20000000,$1M to $20M,Belgium; Denmark; Finland; France; Germany; Italy; Luxembourg; Netherlands; Spain; Sweden; Switzerland; Turkey,Harry Haeck (Partner); Toon De Neef (Associate); Thomas Depuydt (GP/MD); Jean-Baptiste Maenhout (Associate); Tom De Bondt (Associate),2,fund/Smartfin,,,,
Underline Ventures,True,./images/funds/recjJ6VPbaQmUo6pB.jpg,logos/Underline_Ventures.jpg,https://www.linkedin.com/company/underline-vc/,https://underline.vc/,"Underline Ventures partners at the earliest stages with Eastern European founders building high-growth startups with global ambitions. It is the first solo general partner venture fund in Central and Eastern Europe, with Bogdan Iordache at the helm of the €20 million fund.","We make sure we are putting our money where our mouth is and <> by providing significant services to the startups in our portfolio: recruitment & HR services (with Ioana’s support), comms (with Adriana’s support), growth advising (with Vlad’s and Ioana S.’ support), and strategy and fundraising (with Bogdan’s and Mihai's support).",VC,"Bucharest, Romania",,,,,,We invest in Eastern European founders building high-growth startups with global ambitions. We are vertical-agnostic.,1. Idea or Patent; 2. Prototype; 3. Early Revenue,N/A,200000,1000000,$200k to $1M,Albania; Belarus; Bosnia-H; Bulgaria; Croatia; Czech Republic; Estonia; Greece; Hungary; Latvia; Lithuania; Moldova; Montenegro; North Macedonia; Poland; Romania; Serbia; Slovakia; Slovenia; Ukraine,Adriana Spulber (Other); Bogdan Iordache (GP/MD); Milana Slobtcova (Analyst),2,fund/Underline%20Ventures,https://www.twitter.com/UnderlineVC,,,
Plus Ultra Capital Partners,True,./images/funds/recLMEWUGwk65pIDp.jpg,logos/Plus_Ultra_Capital_Partners.jpg,https://www.linkedin.com/company/plusultracapital,https://plusultra.capital,"We bring money and help to visionaries and entrepreneurs who need to execute growth on promising ideas.

After investment, we bring GTM expertise across the growth process from marketing through sales and customer success.","Plus Ultra Investment Thesis

Traction: We invest in Growth, not ideas or prototypes. We look for clear evidence of product-market fit. $1M or greater Revenue/ARR or a clear growth path to this within a quarter. Tech-led growth.

Inflection Point: We bring Capital AND GTM operating help to drive a measurable impact on growth trajectories. Transitioning from founder-led to sales-led growth, adding new GTMs, need to scale current GTMs, or new market entry.",VC,"Palo Alto, CA, USA",,,,,,"We invest in SaaS, Software, Security, Cyber, IoT, Fintech, Proptech, EV, Enterprise, Enterprise Applications, Enterprise Infrastructure, AI, Artificial Intelligence, Cloud Infrastructure, Robotics, SMB, Direct to Consumer, D2C, B2B, AR/VR, Medical Devices, HRTech, Logistics, MarketingTech, Marketplaces, Material Science, Messaging, Payments, Real Estate, Retail, Sales & CRM, Semiconductors, Social Commerce, Social Networks, Space, Supply Chain Tech, TransportationTech, Travel, Web3/Blockchain, Web3/Crypto.

Traction: $1M or greater Revenue/ARR or a clear growth path to this.

Inflection Point: We bring Capital AND GTM operating help to drive a measurable impact.

Growth Potential: Companies with big ideas, competitive differentiation, large TAMs, and understanding of GTM metrics

SPV Fit: Business models benefitting from ""Smart Capital""

Check size: Late Seed: $2-5M / Series A: $10-25M",3. Early Revenue; 4. Scaling,Sometimes,2000000,25000000,$2M to $25M,USA; Canada; Mexico; UK; Germany; France; Spain; Argentina; Brazil; Sweden; South Korea; South Africa; Slovenia; Slovakia; Singapore; Romania; Portugal; Poland; Norway; Nigeria; New Zealand; Netherlands; Lithuania; Italy; Israel; Ireland; India; Hong Kong; Finland; Estonia; Egypt; Ecuador; Denmark; Czech Republic; Croatia; Colombia; China; Chile; Bulgaria; Belgium; Australia,Pablo Grodnitzky (GP/MD),2,fund/Plus%20Ultra%20Capital%20Partners,,,,
Apeiron Venture Capital,True,./images/funds/recwWM4gfStOR0eZa.jpg,logos/Apeiron_Venture_Capital.jpg,https://www.linkedin.com/company/apeiron-venture-capital/?viewAsMember=true,https://apeiron.vc/,"Apeiron Ventures is a European early-stage VC fund with €25m under management, investing at the pre-seed and seed stages. We back ambitious founders building scalable, technology-driven companies, partnering early with hands-on support and long-term vision.","- Direct communication (at whatsapp level)
- Speed of execution
- Networking
- Support and Mentoring",VC,"Evrystheos 2, 11854 Athens, Greece

+
−
Leaflet",,,,,,We invest in pre-seed and seed with an average ticket size ranging from $300k to $1mm. Our investment thesis is agnostic.,1. Idea or Patent; 2. Prototype; 3. Early Revenue; 4. Scaling,Sometimes,300000,1000000,$300k to $1M,Argentina; Brazil; Canada; Chile; Colombia; Costa Rica; El Salvador; Mexico; Peru; USA; Uruguay; Kazakhstan; Kyrgyzstan; Singapore; Taiwan; Tajikistan; Turkmenistan; Uzbekistan; Albania; Andorra; Armenia; Austria; Belarus; Belgium; Bosnia-H; Bulgaria; Croatia; Cyprus; Czech Republic; Denmark; Estonia; Finland; France; Georgia; Germany; Gibraltar; Greece; Hungary; Iceland; Ireland; Italy; Latvia; Liechtenstein; Lithuania; Luxembourg; Malta; Moldova; Monaco; Montenegro; Netherlands; North Macedonia; Norway; Poland; Portugal; Romania; Russia; San Marino; Serbia; Slovakia; Slovenia; Spain; Sweden; Switzerland; UK; Ukraine; Algeria; Israel; Jordan; UAE; Australia; New Zealand,Constantinos Nikolaidis (Associate); Aris Kefalogiannis (Analyst),2,fund/Apeiron%20Venture%20Capital,,,,
